aliasNames,shortName
https://spdx.org/licenses/cc-by-sa-4.0.html#licensetext,spdx/CC-BY-SA-4.0
https://spdx.org/licenses/cc0-1.0.html#licensetext,spdx/CC0-1.0
https://spdx.org/licenses/cddl-1.0.html#licensetext,spdx/CDDL-1.0
https://spdx.org/licenses/cddl-1.1.html#licensetext,spdx/CDDL-1.1
https://spdx.org/licenses/cdla-permissive-1.0.html#licensetext,spdx/CDLA-Permissive-1.0
https://spdx.org/licenses/cdla-sharing-1.0.html#licensetext,spdx/CDLA-Sharing-1.0
https://spdx.org/licenses/cecill-1.0.html#licensetext,spdx/CECILL-1.0
https://spdx.org/licenses/cecill-1.1.html#licensetext,spdx/CECILL-1.1
https://spdx.org/licenses/cecill-2.0.html#licensetext,spdx/CECILL-2.0
https://spdx.org/licenses/cecill-2.1.html#licensetext,spdx/CECILL-2.1
https://spdx.org/licenses/cecill-b.html#licensetext,spdx/CECILL-B
https://spdx.org/licenses/cecill-c.html#licensetext,spdx/CECILL-C
https://spdx.org/licenses/clartistic.html#licensetext,spdx/ClArtistic
https://spdx.org/licenses/cnri-jython.html#licensetext,spdx/CNRI-Jython
https://spdx.org/licenses/cnri-python-gpl-compatible.html#licensetext,spdx/CNRI-Python-GPL-Compatible
https://spdx.org/licenses/cnri-python.html#licensetext,spdx/CNRI-Python
https://spdx.org/licenses/condor-1.1.html#licensetext,spdx/Condor-1.1
https://spdx.org/licenses/cpal-1.0.html#licensetext,spdx/CPAL-1.0
https://spdx.org/licenses/cpl-1.0.html#licensetext,spdx/CPL-1.0
https://spdx.org/licenses/cpol-1.02.html#licensetext,spdx/CPOL-1.02
https://spdx.org/licenses/crossword.html#licensetext,spdx/Crossword
https://spdx.org/licenses/crystalstacker.html#licensetext,spdx/CrystalStacker
https://spdx.org/licenses/cua-opl-1.0.html#licensetext,spdx/CUA-OPL-1.0
https://spdx.org/licenses/cube.html#licensetext,spdx/Cube
https://spdx.org/licenses/curl.html#licensetext,spdx/curl
https://spdx.org/licenses/d-fsl-1.0.html#licensetext,spdx/D-FSL-1.0
https://spdx.org/licenses/diffmark.html#licensetext,spdx/diffmark
https://spdx.org/licenses/doc.html#licensetext,spdx/DOC
https://spdx.org/licenses/dotseqn.html#licensetext,spdx/Dotseqn
https://spdx.org/licenses/dsdp.html#licensetext,spdx/DSDP
https://spdx.org/licenses/dvipdfm.html#licensetext,spdx/dvipdfm
https://spdx.org/licenses/ecl-1.0.html#licensetext,spdx/ECL-1.0
https://spdx.org/licenses/ecl-2.0.html#licensetext,spdx/ECL-2.0
https://spdx.org/licenses/ecos-2.0.html#licensetext,spdx/eCos-2.0
https://spdx.org/licenses/efl-1.0.html#licensetext,spdx/EFL-1.0
https://spdx.org/licenses/efl-2.0.html#licensetext,spdx/EFL-2.0
https://spdx.org/licenses/egenix.html#licensetext,spdx/eGenix
https://spdx.org/licenses/entessa.html#licensetext,spdx/Entessa
https://spdx.org/licenses/epl-1.0,spdx/EPL-1.0
https://spdx.org/licenses/epl-1.0.html#licensetext,spdx/EPL-1.0
https://spdx.org/licenses/epl-2.0.html#licensetext,spdx/EPL-2.0
https://spdx.org/licenses/erlpl-1.1.html#licensetext,spdx/ErlPL-1.1
https://spdx.org/licenses/eudatagrid.html#licensetext,spdx/EUDatagrid
https://spdx.org/licenses/eupl-1.0.html#licensetext,spdx/EUPL-1.0
https://spdx.org/licenses/eupl-1.1.html#licensetext,spdx/EUPL-1.1
https://spdx.org/licenses/eupl-1.2.html#licensetext,spdx/EUPL-1.2
https://spdx.org/licenses/eurosym.html#licensetext,spdx/Eurosym
https://spdx.org/licenses/fair.html#licensetext,spdx/Fair
https://spdx.org/licenses/frameworx-1.0.html#licensetext,spdx/Frameworx-1.0
https://spdx.org/licenses/freeimage.html#licensetext,spdx/FreeImage
https://spdx.org/licenses/fsfap.html#licensetext,spdx/FSFAP
https://spdx.org/licenses/fsful.html#licensetext,spdx/FSFUL
https://spdx.org/licenses/fsfullr.html#licensetext,spdx/FSFULLR
https://spdx.org/licenses/ftl.html#licensetext,spdx/FTL
https://spdx.org/licenses/gfdl-1.1-only.html#licensetext,spdx/GFDL-1.1
https://spdx.org/licenses/gfdl-1.1-or-later.html#licensetext,spdx/GFDL-1.1-or-later
https://spdx.org/licenses/gfdl-1.1.html#licensetext,spdx/GFDL-1.1
https://spdx.org/licenses/gfdl-1.2-only.html#licensetext,spdx/GFDL-1.2
https://spdx.org/licenses/gfdl-1.2-or-later.html#licensetext,spdx/GFDL-1.2-or-later
https://spdx.org/licenses/gfdl-1.2.html#licensetext,spdx/GFDL-1.2
https://spdx.org/licenses/gfdl-1.3-only.html#licensetext,spdx/GFDL-1.3
https://spdx.org/licenses/gfdl-1.3-or-later.html#licensetext,spdx/GFDL-1.3-only
https://spdx.org/licenses/gfdl-1.3.html#licensetext,spdx/GFDL-1.3
https://spdx.org/licenses/giftware.html#licensetext,spdx/Giftware
https://spdx.org/licenses/gl2ps.html#licensetext,spdx/GL2PS
https://spdx.org/licenses/glide.html#licensetext,spdx/Glide
https://spdx.org/licenses/glulxe.html#licensetext,spdx/Glulxe
https://spdx.org/licenses/gnuplot.html#licensetext,FSF/gnuplot
https://spdx.org/licenses/gpl-1.0+.html#licensetext,spdx/GPL-1.0+
https://spdx.org/licenses/gpl-1.0-only.html#licensetext,spdx/GPL-1.0
https://spdx.org/licenses/gpl-1.0-or-later.html#licensetext,spdx/GPL-1.0+
https://spdx.org/licenses/gpl-1.0.html#licensetext,spdx/GPL-1.0
https://spdx.org/licenses/gpl-2.0+.html#licensetext,spdx/GPL-2.0+
https://spdx.org/licenses/gpl-2.0-only.html#licensetext,spdx/GPL-2.0
https://spdx.org/licenses/gpl-2.0-or-later.html#licensetext,spdx/GPL-2.0+
https://spdx.org/licenses/gpl-2.0-with-autoconf-exception.html#licensetext,spdx/GPL-2.0-with-autoconf-exception
https://spdx.org/licenses/gpl-2.0-with-bison-exception.html#licensetext,spdx/GPL-2.0-with-bison-exception
https://spdx.org/licenses/gpl-2.0-with-classpath-exception.html#licensetext,spdx/GPL-2.0-with-classpath-exception
https://spdx.org/licenses/gpl-2.0-with-font-exception.html#licensetext,spdx/GPL-2.0-with-font-exception
https://spdx.org/licenses/gpl-2.0-with-gcc-exception.html#licensetext,spdx/GPL-2.0-with-GCC-exception
https://spdx.org/licenses/gpl-2.0.html#licensetext,spdx/GPL-2.0
https://spdx.org/licenses/gpl-3.0+.html#licensetext,spdx/GPL-3.0+
https://spdx.org/licenses/gpl-3.0-only.html#licensetext,spdx/GPL-3.0
https://spdx.org/licenses/gpl-3.0-or-later.html#licensetext,spdx/GPL-3.0+
https://spdx.org/licenses/gpl-3.0-with-autoconf-exception.html#licensetext,spdx/GPL-3.0-with-autoconf-exception
https://spdx.org/licenses/gpl-3.0-with-gcc-exception.html#licensetext,spdx/GPL-3.0-with-GCC-exception
https://spdx.org/licenses/gpl-3.0.html#licensetext,spdx/GPL-3.0
https://spdx.org/licenses/gsoap-1.3b.html#licensetext,spdx/gSOAP-1.3b
https://spdx.org/licenses/haskellreport.html#licensetext,spdx/HaskellReport
https://spdx.org/licenses/hpnd.html#licensetext,spdx/HPND
https://spdx.org/licenses/ibm-pibs.html#licensetext,spdx/IBM-pibs
https://spdx.org/licenses/icu.html#licensetext,spdx/ICU
https://spdx.org/licenses/ijg.html#licensetext,spdx/IJG
https://spdx.org/licenses/imagemagick.html#licensetext,spdx/ImageMagick
https://spdx.org/licenses/imatix.html#licensetext,spdx/iMatix
https://spdx.org/licenses/imlib2.html#licensetext,spdx/Imlib2
https://spdx.org/licenses/info-zip.html#licensetext,spdx/Info-ZIP
https://spdx.org/licenses/intel-acpi.html#licensetext,spdx/Intel-ACPI
https://spdx.org/licenses/intel.html#licensetext,spdx/Intel-ACPI
https://spdx.org/licenses/interbase-1.0.html#licensetext,spdx/Interbase-1.0
https://spdx.org/licenses/ipa.html#licensetext,spdx/IPA
https://spdx.org/licenses/ipl-1.0.html#licensetext,spdx/IPL-1.0
https://spdx.org/licenses/isc.html#licensetext,spdx/ISC
https://spdx.org/licenses/jasper-2.0.html#licensetext,spdx/JasPer-2.0
https://spdx.org/licenses/json.html#licensetext,spdx/JSON
https://spdx.org/licenses/lal-1.2.html#licensetext,spdx/LAL-1.2
https://spdx.org/licenses/lal-1.3.html#licensetext,spdx/LAL-1.3
https://spdx.org/licenses/latex2e.html#licensetext,spdx/Latex2e
https://spdx.org/licenses/leptonica.html#licensetext,spdx/Leptonica
https://spdx.org/licenses/lgpl-2.0+.html#licensetext,spdx/LGPL-2.0+
https://spdx.org/licenses/lgpl-2.0-only.html#licensetext,spdx/LGPL-2.0
https://spdx.org/licenses/lgpl-2.0-or-later.html#licensetext,spdx/LGPL-2.0+
https://spdx.org/licenses/lgpl-2.0.html#licensetext,spdx/LGPL-2.0
https://spdx.org/licenses/lgpl-2.1+.html#licensetext,spdx/LGPL-2.1+
https://spdx.org/licenses/lgpl-2.1-only.html#licensetext,spdx/LGPL-2.1
https://spdx.org/licenses/lgpl-2.1-or-later.html#licensetext,spdx/LGPL-2.1+
https://spdx.org/licenses/lgpl-2.1.html#licensetext,spdx/LGPL-2.1
https://spdx.org/licenses/lgpl-3.0+.html#licensetext,spdx/LGPL-3.0+
https://spdx.org/licenses/lgpl-3.0-only.html#licensetext,spdx/LGPL-3.0
https://spdx.org/licenses/lgpl-3.0-or-later.html#licensetext,spdx/LGPL-3.0+
https://spdx.org/licenses/lgpl-3.0.html#licensetext,spdx/LGPL-3.0
https://spdx.org/licenses/lgpllr.html#licensetext,spdx/LGPLLR
https://spdx.org/licenses/libpng.html#licensetext,spdx/Libpng
https://spdx.org/licenses/libtiff.html#licensetext,spdx/libtiff
https://spdx.org/licenses/liliq-p-1.1.html#licensetext,spdx/LiLiQ-P-1.1
https://spdx.org/licenses/liliq-r-1.1.html#licensetext,spdx/LiLiQ-R-1.1
https://spdx.org/licenses/liliq-rplus-1.1.html#licensetext,spdx/LiLiQ-Rplus-1.1
https://spdx.org/licenses/lpl-1.0.html#licensetext,spdx/LPL-1.0
https://spdx.org/licenses/lpl-1.02.html#licensetext,spdx/LPL-1.02
https://spdx.org/licenses/lppl-1.0.html#licensetext,spdx/LPPL-1.0
https://spdx.org/licenses/lppl-1.1.html#licensetext,spdx/LPPL-1.1
https://spdx.org/licenses/lppl-1.2.html#licensetext,spdx/LPPL-1.2
https://spdx.org/licenses/lppl-1.3a.html#licensetext,spdx/LPPL-1.3a
https://spdx.org/licenses/lppl-1.3c.html#licensetext,spdx/LPPL-1.3c
https://spdx.org/licenses/makeindex.html#licensetext,spdx/MakeIndex
https://spdx.org/licenses/miros.html#licensetext,spdx/MirOS
https://spdx.org/licenses/mit-advertising.html#licensetext,spdx/MIT-advertising
https://spdx.org/licenses/mit-cmu.html#licensetext,spdx/MIT-CMU
https://spdx.org/licenses/mit-enna.html#licensetext,spdx/MIT-enna
https://spdx.org/licenses/mit-feh.html#licensetext,spdx/MIT-feh
https://spdx.org/licenses/mit.html#licensetext,spdx/MIT
https://spdx.org/licenses/mitnfa.html#licensetext,spdx/MITNFA
https://spdx.org/licenses/motosoto.html#licensetext,spdx/Motosoto
https://spdx.org/licenses/mpich2.html#licensetext,spdx/mpich2
https://spdx.org/licenses/mpl-1.0.html#licensetext,spdx/MPL-1.0
https://spdx.org/licenses/mpl-1.1.html#licensetext,spdx/MPL-1.1
https://spdx.org/licenses/mpl-2.0-no-copyleft-exception.html#licensetext,spdx/MPL-2.0-no-copyleft-exception
https://spdx.org/licenses/mpl-2.0.html#licensetext,spdx/MPL-2.0
https://spdx.org/licenses/ms-pl.html#licensetext,spdx/MS-PL
https://spdx.org/licenses/ms-rl.html#licensetext,spdx/MS-RL
https://spdx.org/licenses/mtll.html#licensetext,spdx/MTLL
https://spdx.org/licenses/multics.html#licensetext,spdx/Multics
https://spdx.org/licenses/mup.html#licensetext,spdx/Mup
https://spdx.org/licenses/nasa-1.3.html#licensetext,spdx/NASA-1.3
https://spdx.org/licenses/naumen.html#licensetext,spdx/Naumen
https://spdx.org/licenses/nbpl-1.0.html#licensetext,spdx/NBPL-1.0
https://spdx.org/licenses/ncsa.html#licensetext,spdx/NCSA
https://spdx.org/licenses/net-snmp.html#licensetext,spdx/Net-SNMP
https://spdx.org/licenses/netcdf.html#licensetext,spdx/NetCDF
https://spdx.org/licenses/newsletr.html#licensetext,spdx/Newsletr
https://spdx.org/licenses/ngpl.html#licensetext,spdx/NGPL
https://spdx.org/licenses/nlod-1.0.html#licensetext,spdx/NLOD-1.0
https://spdx.org/licenses/nlpl.html#licensetext,spdx/NLPL
https://spdx.org/licenses/nokia.html#licensetext,spdx/Nokia
https://spdx.org/licenses/nosl.html#licensetext,spdx/NOSL
https://spdx.org/licenses/noweb.html#licensetext,spdx/Noweb
https://spdx.org/licenses/npl-1.0.html#licensetext,spdx/NPL-1.0
https://spdx.org/licenses/npl-1.1.html#licensetext,spdx/NPL-1.1
https://spdx.org/licenses/nposl-3.0.html#licensetext,spdx/NPOSL-3.0
https://spdx.org/licenses/nrl.html#licensetext,spdx/NRL
https://spdx.org/licenses/ntp.html#licensetext,spdx/NTP
https://spdx.org/licenses/nunit.html#licensetext,spdx/Nunit
https://spdx.org/licenses/occt-pl.html#licensetext,spdx/OCCT-PL
https://spdx.org/licenses/oclc-2.0.html#licensetext,spdx/OCLC-2.0
https://spdx.org/licenses/odbl-1.0.html#licensetext,spdx/ODbL-1.0
https://spdx.org/licenses/ofl-1.0.html#licensetext,spdx/OFL-1.0
https://spdx.org/licenses/ofl-1.1.html#licensetext,spdx/OFL-1.1
https://spdx.org/licenses/ogtsl.html#licensetext,spdx/OGTSL
https://spdx.org/licenses/oldap-1.1.html#licensetext,spdx/OLDAP-1.1
https://spdx.org/licenses/oldap-1.2.html#licensetext,spdx/OLDAP-1.2
https://spdx.org/licenses/oldap-1.3.html#licensetext,spdx/OLDAP-1.3
https://spdx.org/licenses/oldap-1.4.html#licensetext,spdx/OLDAP-1.4
https://spdx.org/licenses/oldap-2.0.1.html#licensetext,spdx/OLDAP-2.0.1
https://spdx.org/licenses/oldap-2.0.html#licensetext,spdx/OLDAP-2.0
https://spdx.org/licenses/oldap-2.1.html#licensetext,spdx/OLDAP-2.1
https://spdx.org/licenses/oldap-2.2.1.html#licensetext,spdx/OLDAP-2.2.1
https://spdx.org/licenses/oldap-2.2.2.html#licensetext,spdx/OLDAP-2.2.2
https://spdx.org/licenses/oldap-2.2.html#licensetext,spdx/OLDAP-2.2
https://spdx.org/licenses/oldap-2.3.html#licensetext,spdx/OLDAP-2.3
https://spdx.org/licenses/oldap-2.4.html#licensetext,spdx/OLDAP-2.4
https://spdx.org/licenses/oldap-2.5.html#licensetext,spdx/OLDAP-2.5
https://spdx.org/licenses/oldap-2.6.html#licensetext,spdx/OLDAP-2.6
https://spdx.org/licenses/oldap-2.7.html#licensetext,spdx/OLDAP-2.7
https://spdx.org/licenses/oldap-2.8.html#licensetext,spdx/OLDAP-2.8
https://spdx.org/licenses/oml.html#licensetext,spdx/OML
https://spdx.org/licenses/openssl.html#licensetext,spdx/OpenSSL
https://spdx.org/licenses/opl-1.0.html#licensetext,spdx/OPL-1.0
https://spdx.org/licenses/oset-pl-2.1.html#licensetext,spdx/OSET-PL-2.1
https://spdx.org/licenses/osl-1.0.html#licensetext,spdx/OSL-1.0
https://spdx.org/licenses/osl-1.1.html#licensetext,spdx/OSL-1.1
https://spdx.org/licenses/osl-2.0.html#licensetext,spdx/OSL-2.0
https://spdx.org/licenses/osl-2.1.html#licensetext,spdx/OSL-2.1
https://spdx.org/licenses/osl-3.0.html#licensetext,spdx/OSL-3.0
https://spdx.org/licenses/pddl-1.0.html#licensetext,spdx/PDDL-1.0
https://spdx.org/licenses/php-3.0.html#licensetext,spdx/PHP-3.0
https://spdx.org/licenses/php-3.01.html#licensetext,spdx/PHP-3.01
https://spdx.org/licenses/plexus.html,spdx/Plexus
https://spdx.org/licenses/plexus.html#licensetext,spdx/Plexus
https://spdx.org/licenses/postgresql.html#licensetext,spdx/PostgreSQL
https://spdx.org/licenses/psfrag.html#licensetext,spdx/psfrag
https://spdx.org/licenses/psutils.html#licensetext,spdx/psutils
https://spdx.org/licenses/python-2.0.html#licensetext,spdx/Python-2.0
https://spdx.org/licenses/qhull.html#licensetext,spdx/Qhull
https://spdx.org/licenses/qpl-1.0.html#licensetext,spdx/QPL-1.0
https://spdx.org/licenses/rdisc.html#licensetext,spdx/Rdisc
https://spdx.org/licenses/rhecos-1.1.html#licensetext,spdx/RHeCos-1.1
https://spdx.org/licenses/rpl-1.1.html#licensetext,spdx/RPL-1.1
https://spdx.org/licenses/rpl-1.5.html#licensetext,FSF/RPL
https://spdx.org/licenses/rpsl-1.0.html#licensetext,spdx/RPSL-1.0
https://spdx.org/licenses/rsa-md.html#licensetext,spdx/RSA-MD
https://spdx.org/licenses/rscpl.html#licensetext,spdx/RSCPL
https://spdx.org/licenses/ruby.html#licensetext,spdx/Ruby
https://spdx.org/licenses/sax-pd.html#licensetext,spdx/SAX-PD
https://spdx.org/licenses/saxpath.html#licensetext,spdx/Saxpath
https://spdx.org/licenses/scea.html#licensetext,spdx/SCEA
https://spdx.org/licenses/sendmail.html#licensetext,spdx/Sendmail
https://spdx.org/licenses/sgi-b-1.0.html#licensetext,spdx/SGI-B-1.0
https://spdx.org/licenses/sgi-b-1.1.html#licensetext,spdx/SGI-B-1.1
https://spdx.org/licenses/sgi-b-2.0.html#licensetext,spdx/SGI-B-2.0
https://spdx.org/licenses/simpl-2.0.html#licensetext,spdx/SimPL-2.0
https://spdx.org/licenses/sissl-1.2.html#licensetext,spdx/SISSL-1.2
https://spdx.org/licenses/sissl.html#licensetext,spdx/SISSL
https://spdx.org/licenses/sleepycat.html#licensetext,spdx/Sleepycat
https://spdx.org/licenses/smlnj.html#licensetext,spdx/SMLNJ
https://spdx.org/licenses/smppl.html#licensetext,spdx/SMPPL
https://spdx.org/licenses/snia.html#licensetext,spdx/SNIA
https://spdx.org/licenses/spencer-86.html#licensetext,spdx/Spencer-86
https://spdx.org/licenses/spencer-94.html#licensetext,spdx/Spencer-94
https://spdx.org/licenses/spencer-99.html#licensetext,spdx/Spencer-99
https://spdx.org/licenses/spl-1.0.html#licensetext,spdx/SPL-1.0
https://spdx.org/licenses/standardml-nj.html#licensetext,spdx/SMLNJ
https://spdx.org/licenses/sugarcrm-1.1.3.html#licensetext,spdx/SugarCRM-1.1.3
https://spdx.org/licenses/swl.html#licensetext,spdx/SWL
https://spdx.org/licenses/tcl.html#licensetext,spdx/TCL
https://spdx.org/licenses/tcp-wrappers.html#licensetext,spdx/TCP-wrappers
https://spdx.org/licenses/tmate.html#licensetext,spdx/TMate
https://spdx.org/licenses/torque-1.1.html#licensetext,spdx/TORQUE-1.1
https://spdx.org/licenses/tosl.html#licensetext,spdx/TOSL
https://spdx.org/licenses/unicode-dfs-2015.html#licensetext,spdx/Unicode-DFS-2015
https://spdx.org/licenses/unicode-dfs-2016.html#licensetext,spdx/Unicode-DFS-2016
https://spdx.org/licenses/unicode-tou.html#licensetext,spdx/Unicode-TOU
https://spdx.org/licenses/unlicense.html#licensetext,spdx/Unlicense
https://spdx.org/licenses/upl-1.0.html#licensetext,spdx/UPL-1.0
https://spdx.org/licenses/vim.html#licensetext,spdx/Vim
https://spdx.org/licenses/vostrom.html#licensetext,spdx/VOSTROM
https://spdx.org/licenses/vsl-1.0.html#licensetext,spdx/VSL-1.0
https://spdx.org/licenses/w3c-19980720.html#licensetext,spdx/W3C-19980720
https://spdx.org/licenses/w3c-20150513.html#licensetext,spdx/W3C-20150513
https://spdx.org/licenses/w3c.html#licensetext,spdx/W3C
https://spdx.org/licenses/watcom-1.0.html#licensetext,spdx/Watcom-1.0
https://spdx.org/licenses/wsuipa.html#licensetext,spdx/Wsuipa
https://spdx.org/licenses/wtfpl.html#licensetext,spdx/WTFPL
https://spdx.org/licenses/wxwindows.html#licensetext,spdx/WXwindows
https://spdx.org/licenses/x11.html#licensetext,spdx/X11
https://spdx.org/licenses/xerox.html#licensetext,spdx/Xerox
https://spdx.org/licenses/xfree86-1.1.html#licensetext,spdx/XFree86-1.1
https://spdx.org/licenses/xinetd.html#licensetext,spdx/xinetd
https://spdx.org/licenses/xnet.html#licensetext,spdx/Xnet
https://spdx.org/licenses/xpp.html#licensetext,spdx/xpp
https://spdx.org/licenses/xskat.html#licensetext,spdx/XSkat
https://spdx.org/licenses/ypl-1.0.html#licensetext,spdx/YPL-1.0
https://spdx.org/licenses/ypl-1.1.html#licensetext,spdx/YPL-1.1
https://spdx.org/licenses/zed.html#licensetext,spdx/Zed
https://spdx.org/licenses/zend-2.0.html#licensetext,spdx/Zend-2.0
https://spdx.org/licenses/zimbra-1.3.html#licensetext,spdx/Zimbra-1.3
https://spdx.org/licenses/zimbra-1.4.html#licensetext,spdx/Zimbra-1.4
https://spdx.org/licenses/zlib-acknowledgement.html#licensetext,spdx/zlib-acknowledgement
https://spdx.org/licenses/zlib.html#licensetext,spdx/Zlib
https://spdx.org/licenses/zpl-1.1.html#licensetext,spdx/ZPL-1.1
https://spdx.org/licenses/zpl-2.0.html#licensetext,spdx/ZPL-2.0
https://spdx.org/licenses/zpl-2.1.html#licensetext,spdx/ZPL-2.1
https://support.ca.com/cadocs/0/ca%20clarity%20ppm%2013%200%2000%20%20on%20demand%20-enu/bookshelf_files/html/od--releasenotes/index.htm?toc.htm?1905722.html,"Apache-1.1 = The CyberNeko Software License, Version 1.0"
https://svn.code.sf.net/p/geoapi/code/branches/3.0.x/license.txt,Approved/OGC legal NOTICE
https://svnkit.com/license.html,spdx/TMate
https://svnkit.com/license.html?,spdx/TMate
https://svnkit.com/sequence-license.txt,"Approved/BSD-3-Clause for syntevo GmbH, Freilassing, GERMANY"
https://svnkit.com/trilead-license.txt,Approved/TRILEAD-LICENSE
https://svnweb.freebsd.org/base/head/include/ifaddrs.h?revision=326823,spdx/BSD-1-Clause
https://ti.arc.nasa.gov/opensource/nosa/,spdx/NASA-1.3
https://tldrlegal.com/license/mit-license,spdx/MIT
https://tldrlegal.com/license/postgresql-license-(postgresql),spdx/PostgreSQL
https://tldrlegal.com/license/wxwindows-library-license-(wxwindows)#fulltext,spdx/WXwindows
https://tls.mbed.org/aes-source-code,Approved/Apache-2.0 + NIST AES NOTICE
https://vaadin.com/download/release/8.0/8.0.7/licenses/cup-open-source-license.txt,Approved/CUP Parser Generator License
https://vaadin.com/license/cval-3,Approved/Commercial Vaadin Add-On License version 3
https://vaadin.com/license/cval-3.0,Approved/Commercial Vaadin Add-On License version 3
https://web.archive.org/web/19981206111937/http://www.opencontent.org/opl.shtml,FSF/OpenContentL
https://web.archive.org/web/20060319014854/http://info.borland.com/devsupport/interbase/opensource/ipl.html,spdx/Interbase-1.0
https://web.archive.org/web/20130517195954/http://www.zend.com/license/2_00.txt,spdx/Zend-2.0
https://web.archive.org/web/20151224134844/http://unicode.org/copyright.html,spdx/Unicode-DFS-2015
https://wiki.debian.org/qa.debian.org/jsonevil,spdx/JSON
https://wrapper.tanukisoftware.com/doc/english/licenseoverview.html,Approved/Tanuki Software license
https://wso2.com/licenses,Approved/WSO2 Commercial License 1.0
https://www.acm.org/publications/policies/software-copyright-notice,Approved/ACM Software License Agreement
https://www.apache.org/license-1.1,spdx/Apache-1.1
https://www.apache.org/licenses/,Approved/Apache Software Foundation products NOTICE
https://www.apache.org/licenses/license-2.0,spdx/Apache-2.0
https://www.apache.org/licenses/license-2.0.txt,spdx/Apache-2.0
https://www.atlassian.com/licensing/purchase-licensing,Approved/Atlassian purchase-licensing
https://www.atomikos.com/main/extremetransactionsdevelopmentlicense,Approved/ExtremeTransactions Development License
https://www.atomikos.com/main/whichlicenseapplies,Approved/ExtremeTransactions Development License
https://www.bouncycastle.org/licence.html,Approved/MIT + donation for Bouncy Castle License
https://www.calculate-linux.org/packages/licenses/bea.ri.jsr173,Approved/Java Specification Participation Agreement
https://www.couchbase.com/esla-11132015,Approved/Couchbase Community Edition License Agreement
https://www.couchbase.com/licensing-and-support-faq,Approved/Couchbase Community Edition License Agreement
https://www.cs.princeton.edu/~appel/modern/java/cup/#license,Approved/CUP Parser Generator License
https://www.eclipse.org/legal/cpl-v10.html,spdx/CPL-1.0
https://www.eclipse.org/legal/epl-2.0,spdx/EPL-2.0
https://www.eclipse.org/legal/epl-v10.html,spdx/EPL-1.0
https://www.ecma-international.org/memento/ecma%20copyright%20faq.htm,Approved/BSD-3-Clause for Ecma International
https://www.forge.gouv.qc.ca/participez/licence-logicielle/licence-libre-du-quebec-liliq-en-francais/licence-libre-du-quebec-reciprocite-forte-liliq-r-v1-1/,spdx/LiLiQ-Rplus-1.1
https://www.forge.gouv.qc.ca/participez/licence-logicielle/licence-libre-du-quebec-liliq-en-francais/licence-libre-du-quebec-reciprocite-liliq-r-v1-1/,spdx/LiLiQ-R-1.1
https://www.freebsd.org/copyright/freebsd-license.html,spdx/BSD-2-Clause-FreeBSD
https://www.gnu.org/license,spdx/GPL-2.0
https://www.gnu.org/licenses/agpl-3.0-standalone.html,spdx/AGPL-3.0
https://www.gnu.org/licenses/agpl-3.0.html,spdx/AGPL-3.0-only
https://www.gnu.org/licenses/dsl.html,Approved/DESIGN_SCIENCE
https://www.gnu.org/licenses/eiffel-forum-license-2.html,spdx/EFL-2.0
https://www.gnu.org/licenses/fdl.html,spdx/GFDL-1.3
https://www.gnu.org/licenses/gpl-2.0.html,spdx/GPL-2.0+
https://www.gnu.org/licenses/gpl-2.0.txt,spdx/GPL-2.0+
https://www.gnu.org/licenses/gpl-3.0-standalone.html,spdx/GPL-3.0
https://www.gnu.org/licenses/gpl-3.0.en.html,spdx/GPL-3.0+
https://www.gnu.org/licenses/gpl-3.0.html,spdx/GPL-3.0
https://www.gnu.org/licenses/gpl-3.0.txt,spdx/GPL-3.0
https://www.gnu.org/licenses/gpl-faq.html#fontexception,spdx/GPL-2.0-with-font-exception
https://www.gnu.org/licenses/gpl.txt,spdx/GPL-2.0+
https://www.gnu.org/licenses/lgpl-2.0.html,spdx/LGPL-2.0
https://www.gnu.org/licenses/lgpl-2.1.html,spdx/LGPL-2.1
https://www.gnu.org/licenses/lgpl-3.0.en.html,spdx/LGPL-3.0
https://www.gnu.org/licenses/lgpl.txt,spdx/LGPL-2.0
https://www.gnu.org/licenses/license-list.en.html#odbl,FSF/ODbl
https://www.gnu.org/licenses/license-list.html#agplv3.0,spdx/AGPL-3.0
https://www.gnu.org/licenses/license-list.html#apache1.1,spdx/Apache-1.1
https://www.gnu.org/licenses/license-list.html#apache2,spdx/Apache-2.0
https://www.gnu.org/licenses/license-list.html#artisticlicense,spdx/Artistic-1.0
https://www.gnu.org/licenses/license-list.html#artisticlicense2,spdx/Artistic-2.0
https://www.gnu.org/licenses/license-list.html#boost,spdx/BSL-1.0
https://www.gnu.org/licenses/license-list.html#cc0,spdx/CC0-1.0
https://www.gnu.org/licenses/license-list.html#ccbysa,spdx/CC-BY-SA-2.0
https://www.gnu.org/licenses/license-list.html#cecill,spdx/CECILL-2.0
https://www.gnu.org/licenses/license-list.html#commonpubliclicense10,spdx/CPL-1.0
https://www.gnu.org/licenses/license-list.html#epl,spdx/EPL-1.0
https://www.gnu.org/licenses/license-list.html#eupl,spdx/EUPL-1.1
https://www.gnu.org/licenses/license-list.html#expat,spdx/MIT
https://www.gnu.org/licenses/license-list.html#freebsd,spdx/BSD-2-Clause-FreeBSD
https://www.gnu.org/licenses/license-list.html#gnugpl,spdx/GPL-3.0
https://www.gnu.org/licenses/license-list.html#gplv2,spdx/GPL-2.0
https://www.gnu.org/licenses/license-list.html#isc,spdx/ISC
